Mairie de Montreuil,1873,9,Place Jean Jaurès - 93048,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Mairie de Saint-Ouen,1874,13,Place de la République - 93070,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Mairie des Lilas,1875,11,Place du Colonel Fabien - 93045,(MAIRIE DES LILAS <-> CHATELET) - Aller
Maison Blanche,1876,7,144 avenue d' Italie - 75113,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller
Malakoff-Plateau de Vanves,1879,13,r. Jean Bleuzen - 92020,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Malakoff-Rue Etienne Dolet,1880,13,87 rue Guy Môquet - 92020,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Malesherbes,1881,3,Place du Général Catroux - 75117,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Maraîchers,1882,9,67 bis rue des Pyrénées - 75120,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Marcadet-Poissonniers,1883,12,88 boulevard Barbès - 75118,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
Marcel Sembat,1884,9,Rue des Quatre Cheminées - 92012,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Marx-Dormoy,1886,12,4 rue de la Chapelle - 75118,(MAIRIE D'ISSY <-> FRONT POPULAIRE) - Aller
La Défense (Grande Arche),1887,1,Carpeaux (rue gare du RER La Défense) - 92062,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Guy-Môquet,1888,13,86 avenue de Saint-Ouen - 75118,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Havre-Caumartin,1889,3,bd Haussmann - 75109,(GALLIENI <-> PONT DE LEVALLOIS - BECON) - Aller
Havre-Caumartin,1890,9,bd Haussmann - 75109,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Hoche,1891,5,Centre Commercial - 93055,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Hôtel de Ville,1892,1,Rue du Renard - 75104,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller
Hôtel de Ville,1893,11,Rue du Renard - 75104,(MAIRIE DES LILAS <-> CHATELET) - Aller
Iéna,1895,9,av. du Président Wilson - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Invalides,1897,13,Rue de l' Université - 75107,(CHATILLON - MONTROUGE <-> ST-DENIS-UNIVERSITE/LES COURTILLES) - Aller
Jacques-Bonsergent,1898,5,bd de Magenta - 75110,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
Jasmin,1899,9,85 avenue Mozart - 75116,(PONT DE SEVRES <-> MAIRIE DE MONTREUIL) - Aller
Jaurès,1900,2,Face au 2 place de Stalingrad - 75119,(NATION <-> PORTE DAUPHINE) - Aller
Jaurès,1901,5,Face au 2 place de Stalingrad - 75119,(BOBIGNY - PABLO PICASSO <-> PLACE D'ITALIE) - Aller
